train,test
2.1175851451944668E-4,2.1472320735191293E-4
2.1171515229577754E-4,2.142794263797815E-4
2.1157868277482116E-4,2.1422097308145376E-4
2.1149380015242635E-4,2.140581679230304E-4
2.1139071871847926E-4,2.137666286481021E-4
2.1129492771273012E-4,2.1368795101161058E-4
2.1122005430440074E-4,2.135238966561726E-4
2.1114833258816686E-4,2.1348856249877218E-4
2.1106595413248428E-4,2.1343676995838964E-4
2.109970644298472E-4,2.1336507395823402E-4
2.1094167483460855E-4,2.1331213026294253E-4
2.1088924748525104E-4,2.131664699554414E-4
2.1083898171514692E-4,2.1306745988114494E-4
2.1076151778851138E-4,2.1279732231931043E-4
2.1065455586199305E-4,2.1279977235596297E-4
2.10524540057329E-4,2.1250527752092203E-4
2.1042881548405954E-4,2.1243893644367834E-4
2.1034537053231584E-4,2.1233628586155E-4
2.1026807290387795E-4,2.1211551103530023E-4
2.1020719777057554E-4,2.120255523775923E-4
2.1012159498950451E-4,2.1193605374300527E-4
2.1003079518096637E-4,2.1184138692092818E-4
2.099331572671023E-4,2.117940832448558E-4
2.0984717327629258E-4,2.1184884364516877E-4
2.097494879456815E-4,2.119474803399719E-4
2.0966884228284182E-4,2.1196619308809546E-4
2.0959987692275735E-4,2.1197298036240418E-4
2.0953270417449656E-4,2.119473454259493E-4
2.0950023177453207E-4,2.1185147710638995E-4
2.0945496500026834E-4,2.118351563103948E-4
2.0942412882636645E-4,2.1182273555127646E-4
2.093823568610289E-4,2.1184765116259133E-4
2.09328499188938E-4,2.1192430551248323E-4
2.0924264573658763E-4,2.121933427506297E-4
2.0910586626737073E-4,2.1209039922411547E-4
2.0898898839701114E-4,2.1184895301233904E-4
2.0884483052410418E-4,2.1159955398766778E-4
2.0871051750195418E-4,2.116797849046729E-4
2.086035077430668E-4,2.1166505636817707E-4
2.085184383803169E-4,2.1190610037833226E-4
2.083696645049258E-4,2.1169460395427056E-4
2.0822490147658106E-4,2.1147784158649313E-4
2.081077692079998E-4,2.111639913425275E-4
2.080084568990461E-4,2.1123591791009087E-4
2.0794272101466434E-4,2.1112823081607178E-4
2.0789191627588915E-4,2.110669366433178E-4
2.0785696518813698E-4,2.1097492701463812E-4
2.078353817003674E-4,2.1082811069029477E-4
2.0780869928766543E-4,2.106366683790938E-4
2.0777464739453529E-4,2.105304887116009E-4
2.0774216514651627E-4,2.104609465455097E-4
2.076957537927911E-4,2.1032090684037854E-4
2.0762552948164485E-4,2.1023748804101038E-4
2.0753727795100953E-4,2.1001099355662508E-4
2.0741915065341607E-4,2.100257021440622E-4
2.072707471228833E-4,2.0986235626535977E-4
2.0716346650675245E-4,2.0980253935221977E-4
2.0705930947994636E-4,2.0974516338211538E-4
2.0694708193748392E-4,2.0978576462557364E-4
2.0683896627073916E-4,2.097084709682075E-4
2.0674119546163104E-4,2.0969998441961523E-4
2.0667896891936818E-4,2.0958723575411478E-4
2.0660393919512152E-4,2.0945755419985227E-4
2.0654490456164563E-4,2.0935845280033386E-4
2.0650652142895746E-4,2.0922735963218802E-4
2.064754008961159E-4,2.0919910685219514E-4
2.064443571726796E-4,2.0916556811238383E-4
2.064127833685257E-4,2.0908075050671574E-4
2.0637018626078145E-4,2.0907165777437207E-4
2.0630855116001296E-4,2.0852611255180024E-4
2.0621373967323218E-4,2.0842787178055455E-4
2.061279793172653E-4,2.082730800599497E-4
2.0602723934064028E-4,2.082047389664636E-4
2.0598112216315448E-4,2.080865477225053E-4
2.0590389089099884E-4,2.079920480765299E-4
2.0577736071780017E-4,2.0792841240394128E-4
2.0571886513711204E-4,2.0792642087040248E-4
2.0563712069001982E-4,2.0792423225605544E-4
2.0556950115698433E-4,2.078878646013617E-4
2.0552195811711306E-4,2.078411497661885E-4
2.0549481947988463E-4,2.0781087292586606E-4
2.054692921976386E-4,2.0775710969248804E-4
2.0543198910996164E-4,2.076980106784961E-4
2.0537286974056844E-4,2.0764098998253495E-4
2.0529130123079343E-4,2.0754302031364695E-4
2.051898864082018E-4,2.07530774820243E-4
2.0515567155119613E-4,2.074870922003564E-4
2.050913061442625E-4,2.0743485825874464E-4
